epoch,acc,loss,val_acc,val_loss
1,0.6734333333333333,0.8808778726895651,0.7681,0.5922152465820313
2,0.7921333333333334,0.5718772334416707,0.816,0.4918930145263672
3,0.8246000000317891,0.499200256729126,0.8405,0.42147972412109375
4,0.83895,0.45259376681645713,0.8579,0.38868247680664064
5,0.8473166666348775,0.4299950006802877,0.8679,0.3620155944824219
6,0.8538333333333333,0.4142035805543264,0.8665,0.36583115234375
7,0.85865,0.3916064033587774,0.8734,0.33626395874023435
8,0.8618333333651225,0.38193178685506185,0.878,0.32628622131347657
9,0.8648666666666667,0.3748158237457275,0.8796,0.32389720764160157
10,0.8689166666984558,0.3629552049001058,0.8834,0.31390320129394533
