epoch,acc,loss,val_acc,val_loss
1,0.44206666663487754,1.552490545272827,0.6954,0.864997314453125
2,0.6743833333015442,0.8854972114562988,0.75,0.6910341247558593
3,0.7155166666666667,0.7704051947593689,0.7602,0.6323585510253906
4,0.7370333333651224,0.7147359794298808,0.7749,0.5839840881347657
5,0.7518166666348776,0.6754621701876322,0.7831,0.5667289001464844
6,0.7634166666984558,0.6475301417032877,0.7939,0.537288491821289
7,0.7731833333333333,0.6191239743232727,0.8003,0.5179121185302734
8,0.7810500000317891,0.6054683000246683,0.8097,0.5148939575195313
9,0.7868,0.589979106203715,0.8181,0.4962416320800781
10,0.7951000000317892,0.5725753826141358,0.8215,0.49065856323242185
