epoch,acc,loss,val_acc,val_loss
1,0.38166666666666665,1.6766871203740439,0.6255,0.9958336120605469
2,0.6037333333651225,1.0453558482487997,0.6787,0.8188445434570313
3,0.6520333333015442,0.9137950453122456,0.7084,0.7362173767089844
4,0.6766666666348775,0.8471332768758139,0.7194,0.6843655212402344
5,0.694,0.7994820879936219,0.7427,0.6542793823242188
6,0.7063166666666667,0.7676113222757975,0.749,0.6276227844238281
7,0.7187666666666667,0.7436587721824646,0.7595,0.611553515625
8,0.7284833333333334,0.7166232007662455,0.7701,0.5928417175292969
9,0.7376333333651225,0.6924351417223612,0.7816,0.58584169921875
10,0.7454666666666667,0.6724006724675496,0.7922,0.5522383483886719
