epoch,acc,loss,val_acc,val_loss
1,0.15721666666666667,2.269931188074748,0.1788,2.2303873291015623
2,0.2154166666587194,2.181571741104126,0.3,2.0948989501953124
3,0.3117666666507721,1.9976568595250448,0.4441,1.7971246704101562
4,0.3985333333492279,1.7096360368728638,0.5803,1.44251083984375
5,0.48538333333333333,1.4412220486958822,0.6292,1.1831415649414063
6,0.5472000000317891,1.2632968928654988,0.6628,1.0411321166992187
7,0.5877333333333333,1.1536266366958619,0.6796,0.953910693359375
8,0.6136166666348776,1.0802103284200033,0.6948,0.9027319213867188
9,0.6348,1.0288625854174296,0.7029,0.857703662109375
10,0.6488166666666667,0.9848562539418538,0.7132,0.8206896301269532
