epoch,acc,loss,val_acc,val_loss
1,0.5435999999682108,1.3081090427716573,0.7073,0.7940147888183594
2,0.7442333333333333,0.6808179363568624,0.768,0.6275401916503907
3,0.7817833333015441,0.5901473980903625,0.756,0.6309938049316406
4,0.8067833333651224,0.5363288401603699,0.8002,0.5387988739013672
5,0.8206166666984558,0.5036342759450276,0.8262,0.5036524841308594
6,0.8324166666666667,0.4765175714333852,0.815,0.4986493591308594
7,0.8397666666984558,0.4575926570892334,0.8262,0.48970278625488284
8,0.8450833333333333,0.44117012708981834,0.837,0.46473667907714844
9,0.8498166666666667,0.42435719819068907,0.8481,0.4398893005371094
10,0.856,0.4095196070512136,0.8433,0.4424805908203125
