epoch,acc,loss,val_acc,val_loss
1,0.6709666666984558,0.8813100011189778,0.8003,0.5432747985839844
2,0.7899833333333334,0.5695055218378703,0.8228,0.4641406524658203
3,0.8215500000317891,0.4942232339223226,0.836,0.43860042114257813
4,0.8417833333015442,0.4505454273382823,0.8647,0.36893372802734375
5,0.8510166666666666,0.424523051182429,0.864,0.372354150390625
6,0.8557666666984558,0.40598782812754314,0.8709,0.3444577392578125
7,0.8609833333015442,0.38680695751508076,0.8707,0.3524537689208984
8,0.8654333333651225,0.378081968720754,0.8782,0.3335848358154297
9,0.8693333333015442,0.3665287264664968,0.8811,0.32314115295410156
10,0.8717833333651225,0.35815726750691734,0.8832,0.3215370666503906
