epoch,acc,loss,val_acc,val_loss
1,0.5102833333333333,1.4626913328488669,0.8888,0.42389669494628907
2,0.8292,0.5405785129865011,0.9272,0.24176136627197264
3,0.8819833333015442,0.3890081805070241,0.9471,0.17332682037353517
4,0.9041833333651225,0.3152162289698919,0.9579,0.14000337677001953
5,0.9176833333333333,0.2730147553284963,0.9627,0.11873959197998046
6,0.9276500000317891,0.24146066908041636,0.9669,0.10355996932983398
7,0.9333666666984558,0.22181058343251547,0.9716,0.09298053512573243
8,0.9391999999682109,0.20231225915749868,0.9727,0.08499999237060547
9,0.9442333333015442,0.18772572425206502,0.9749,0.07971113319396973
10,0.9460333333015442,0.18091079558531442,0.9761,0.07662732810974121
11,0.9494666666348776,0.1691039543191592,0.9783,0.0725372875213623
12,0.9523333333651225,0.15916723224322002,0.9798,0.06912510452270508
13,0.9536166666348775,0.15505579715967177,0.9794,0.06832722930908203
14,0.9560166666984559,0.1463225164492925,0.9809,0.06517086601257324
15,0.9568833333015442,0.14389317390124004,0.9803,0.06314165267944336
16,0.9576333333015442,0.13989663361708324,0.9809,0.06075290832519531
17,0.95945,0.13505823033650716,0.9824,0.05787068939208984
18,0.9606166666348775,0.12996053222020468,0.982,0.05963485679626465
19,0.9614333333333334,0.12867425540685654,0.9825,0.05875736618041992
20,0.9626999999682109,0.12488992358843486,0.9835,0.05358925323486328
