epoch,acc,loss,val_acc,val_loss
1,0.6763333333333333,0.8746454052766164,0.7971,0.5369216064453125
2,0.7828,0.5924600493431091,0.8204,0.46647442016601565
3,0.8130666666666667,0.5204510515292485,0.8385,0.4324240875244141
4,0.8298666666666666,0.47531073660850526,0.8583,0.38614096069335935
5,0.8415333333333334,0.44639604368607205,0.8585,0.3783654968261719
6,0.84975,0.4211821653167407,0.8691,0.35017113037109376
7,0.8570333333333333,0.40007111360232034,0.8735,0.345377197265625
8,0.86075,0.3900241257548332,0.8725,0.34551602478027343
9,0.8653666666666666,0.37698498771588007,0.8803,0.32760512084960935
10,0.8684166666666666,0.3677756402492523,0.8826,0.31816554260253904
