epoch,acc,loss,val_acc,val_loss
1,0.6747166666666666,0.8780419812202453,0.7791,0.5549314025878906
2,0.78155,0.595426294628779,0.834,0.45013658447265625
3,0.8115,0.5248057686885198,0.8528,0.4080632019042969
4,0.8294166666666667,0.4823848709265391,0.8577,0.388106689453125
5,0.8423666666666667,0.44934532579580944,0.8629,0.3622424560546875
6,0.8484166666666667,0.4253747890353203,0.8698,0.36248005981445314
7,0.854,0.41388073710997897,0.8715,0.3446954193115234
8,0.8613833333333333,0.3923778925180435,0.8781,0.33643330078125
9,0.8655666666666667,0.37876033043464025,0.8809,0.3227158477783203
10,0.8696,0.3686995755434036,0.8824,0.3173029663085937
