epoch,acc,loss,val_acc,val_loss
1,0.15726666665871938,2.2695449628194173,0.1793,2.230124560546875
2,0.21686666665871937,2.1817112188975014,0.3009,2.0943285888671874
3,0.3161166666825612,1.9922228864034017,0.4558,1.7895489624023437
4,0.4014333333333333,1.7001635226567586,0.5819,1.4275708374023437
5,0.48239999996821087,1.4353452477137247,0.631,1.1793561889648438
6,0.5457166666666666,1.262512585067749,0.6621,1.039406591796875
7,0.5840000000317891,1.153165879313151,0.68,0.9604642700195313
8,0.6106000000317892,1.0852795209884643,0.6905,0.9056005249023438
9,0.6338333333333334,1.0289321204503377,0.6976,0.8644266845703125
10,0.6469166666666667,0.9872668385823568,0.7067,0.825708349609375
