epoch,acc,loss,val_acc,val_loss
1,0.7970333333015442,0.5752957081794738,0.851,0.4211995330810547
2,0.8754166666666666,0.343280682516098,0.8966,0.2865791961669922
3,0.8935499999682108,0.29455462940533955,0.8919,0.30546299743652344
4,0.9053500000317891,0.2576285622119904,0.9073,0.24848714599609376
5,0.9127333333651225,0.23828195285797119,0.9119,0.24006915435791015
6,0.9178666666348775,0.2250098425547282,0.9255,0.20818937683105468
7,0.9224500000317891,0.2105396380742391,0.9244,0.21860907440185548
8,0.9280999999682109,0.19704250684579214,0.9239,0.21439273376464843
9,0.9313333333333333,0.188551780017217,0.9205,0.22050292510986327
10,0.9330833333015441,0.1820432058016459,0.9266,0.20810586853027344
