epoch,acc,loss,val_acc,val_loss
1,0.4679666666984558,1.539700440820058,0.7319,0.7844154174804687
2,0.7074333333015442,0.8130768810590108,0.762,0.6186575439453125
3,0.7438166666348776,0.6963161153475443,0.7769,0.5647195434570312
4,0.7637333333015441,0.6382084061304728,0.7909,0.530944482421875
5,0.7791000000317891,0.5972011192480723,0.8011,0.4993197845458984
6,0.7907500000317892,0.570364111105601,0.8123,0.4811749694824219
7,0.8000833333333334,0.5463384823799133,0.8166,0.46414566955566405
8,0.8074833333651225,0.5255837634881337,0.8326,0.4453840148925781
9,0.8162666666348776,0.5078297109285991,0.8393,0.4329975036621094
10,0.8216833333651224,0.49497136065165204,0.8406,0.4242937896728516
