epoch,acc,loss,val_acc,val_loss
1,0.4413333333651225,1.552710225868225,0.7031,0.8597897888183593
2,0.6755333333651224,0.8940290471712748,0.732,0.7045974243164063
3,0.7169666666984558,0.7752080768267313,0.748,0.6486345275878906
4,0.7388500000317891,0.7115737882932027,0.7731,0.596557568359375
5,0.7523833333651225,0.674582123819987,0.7935,0.5505984832763672
6,0.7649833333333333,0.6440419260025024,0.7959,0.5388567016601562
7,0.7752,0.6206055475393931,0.8099,0.5166089569091797
8,0.7813166666348775,0.6038505320549011,0.8087,0.5026765594482422
9,0.7893499999682109,0.5841858741760254,0.8189,0.4949253723144531
10,0.7938000000317892,0.5717424976030986,0.8207,0.48279540405273436
