epoch,acc,loss,val_acc,val_loss
1,0.44116666666666665,1.552613234202067,0.7008,0.8602135070800782
2,0.6748166666666666,0.8939846276601155,0.7386,0.7070235534667969
3,0.7162000000317892,0.7755889058748882,0.7563,0.6385613952636718
4,0.7383000000317892,0.7119466764767964,0.773,0.5968403930664062
5,0.7520000000317891,0.674987223180135,0.7918,0.5506966094970703
6,0.7638333333333334,0.6449301840146383,0.795,0.5393205871582031
7,0.7746666666984559,0.6213253315607706,0.8109,0.5171190887451171
8,0.7807166666348775,0.6043737950960795,0.8089,0.5034231750488282
9,0.7895833333015442,0.5847785228729248,0.8197,0.49710264892578127
10,0.7934166666984558,0.5719922307968139,0.8211,0.4842172119140625
