epoch,acc,loss,val_acc,val_loss
1,0.4414166666666667,1.5527343828201294,0.7031,0.8593761779785156
2,0.6754333333333333,0.894149384689331,0.7387,0.7074950012207031
3,0.7159833333015442,0.7758723841349284,0.7563,0.6373177978515625
4,0.7378833333651225,0.71179819577535,0.7736,0.5958429931640625
5,0.7518666666666667,0.6741410507202148,0.7945,0.5518677642822266
6,0.7642166666666667,0.6441281326293945,0.794,0.5402879608154297
7,0.7748166666984558,0.6211132512251536,0.8104,0.5184424560546875
8,0.7800166666348776,0.6045744369824727,0.8098,0.503893881225586
9,0.7898500000317892,0.5852204844474792,0.8161,0.49959017333984373
10,0.7928000000317892,0.5728902400016784,0.8195,0.484051806640625
