epoch,acc,loss,val_acc,val_loss
1,0.44108333336512245,1.5526078867594402,0.7016,0.8587504638671875
2,0.6756166666348775,0.8938306827863057,0.7373,0.7060402526855468
3,0.7165000000317892,0.7753181562741598,0.7518,0.6437857055664062
4,0.7380333333333333,0.71179210729599,0.7738,0.5955100952148438
5,0.7524500000317892,0.6744876636823018,0.791,0.5514621490478515
6,0.7643833333333333,0.6440130109469095,0.7953,0.5386472412109375
7,0.7742166666666667,0.6215019571145376,0.8094,0.5177203552246094
8,0.7800666666348776,0.6047342423121135,0.8084,0.5049741638183594
9,0.7890666666348776,0.5850709398269653,0.8189,0.4966748077392578
10,0.7931666666984558,0.572255824693044,0.8214,0.4837661895751953
11,0.79725,0.5591829044342042,0.8304,0.4688945465087891
12,0.8037333333015442,0.5468995811144511,0.8176,0.4775791961669922
13,0.8064000000317891,0.5372412280718486,0.8338,0.45628463134765623
14,0.8141833333015442,0.5243416020711263,0.8269,0.4682795349121094
15,0.8140166666666667,0.516939173857371,0.8417,0.4339342803955078
16,0.8210333333651225,0.5060102875550588,0.8436,0.4303306915283203
17,0.8219833333015442,0.5016470109621683,0.8427,0.43319407958984374
18,0.8252166666984558,0.4918967611630758,0.8408,0.425932373046875
19,0.8283666666666667,0.4844919466495514,0.8462,0.41880019226074217
20,0.8302499999682108,0.47673611402511595,0.8494,0.4099083831787109
