epoch,acc,loss,val_acc,val_loss
1,0.5329000000317892,1.3504020777702332,0.7454,0.7189474975585938
2,0.7400666666666667,0.7164071443716685,0.7795,0.601406201171875
3,0.7670333333333333,0.6370240077654521,0.798,0.5578655700683594
4,0.7796166666666666,0.6034529009342193,0.8081,0.5247865112304687
5,0.7903500000317891,0.575944695186615,0.82,0.514145590209961
6,0.8013833333333333,0.5513500300089518,0.8204,0.4955328308105469
7,0.8041500000317892,0.5376233305136363,0.8296,0.47603302001953124
8,0.8111666666666667,0.5259411251703898,0.8352,0.4672823028564453
9,0.8150666666348775,0.5122510570685069,0.8385,0.45653421325683596
10,0.8177166666348775,0.502788233089447,0.8428,0.45268894653320313
