epoch,acc,loss,val_acc,val_loss
1,0.5007333333333334,1.419045026397705,0.6875,0.8209026489257812
2,0.68755,0.8524284422874451,0.7431,0.6683951782226563
3,0.7220166666666666,0.7516768838564555,0.7625,0.6243437316894531
4,0.7440333333651225,0.6972953132947286,0.7809,0.5795340393066406
5,0.7592833333651224,0.6561461785316467,0.7892,0.5504267578125
6,0.7719166666348776,0.6209102053642273,0.8008,0.5247535583496094
7,0.7838666666666667,0.5963780261039734,0.814,0.500842105102539
8,0.7921333333333334,0.5753240920861562,0.8201,0.48700125122070315
9,0.8003166666984558,0.5569983043352763,0.8298,0.4737052429199219
10,0.8061666666666667,0.5382318027178447,0.8218,0.4774810699462891
