epoch,acc,loss,val_acc,val_loss
1,0.17208333333333334,2.23698115196228,0.3461,2.065245361328125
2,0.3443166666825612,1.7020663831075034,0.5694,1.2946680786132811
3,0.45976666666666666,1.3540965852737428,0.6007,1.0950777587890625
4,0.5169166666666667,1.227560001818339,0.6753,0.9893581237792969
5,0.5546166666984558,1.1391492343584697,0.7151,0.8980223815917969
6,0.5784333333015442,1.078023201560974,0.726,0.8234207702636719
7,0.5921999999682108,1.0349414126078287,0.7323,0.7846116088867188
8,0.6101666666666666,0.9950392253557842,0.7357,0.7412087280273437
9,0.61835,0.970717974281311,0.7503,0.7125758422851562
10,0.6297499999682109,0.9514157801628113,0.7482,0.69058798828125
