epoch,acc,loss,val_acc,val_loss
1,0.6642666666666667,0.9304264942804973,0.7844,0.5562734497070313
2,0.77865,0.6114585335095724,0.8266,0.48157725830078124
3,0.8055,0.5470548576990764,0.8422,0.43300872802734375
4,0.8203166666348776,0.49913246981302895,0.8492,0.4087678863525391
5,0.8301833333333334,0.4739270012219747,0.8614,0.3776716766357422
6,0.8405333333333334,0.44869451791445414,0.8637,0.37377327575683594
7,0.8459166666348775,0.4337986728191376,0.8715,0.3549897705078125
8,0.8509999999682109,0.41727144481341044,0.8719,0.34745495300292967
9,0.8571166666984558,0.4036463214079539,0.8791,0.33806230773925783
10,0.8587333333651225,0.3907765865802765,0.8815,0.3299888977050781
