epoch,acc,loss,val_acc,val_loss
1,0.4567833333333333,1.5339995581309,0.7215,0.8374063110351563
2,0.6846166666348775,0.8658156124114991,0.7561,0.6519180786132812
3,0.7218666666666667,0.7508227981249491,0.7715,0.5939888671875
4,0.7423166666348775,0.6948138789812723,0.7821,0.559358462524414
5,0.7525,0.6636661411603292,0.7915,0.5317768859863281
6,0.7641666666666667,0.6367106136957804,0.7964,0.5164888946533203
7,0.7700166666666667,0.6153982753753662,0.7998,0.5016665161132813
8,0.7746166666348775,0.5998581651369731,0.8082,0.48525825805664063
9,0.7813166666984558,0.5847967093149821,0.8149,0.47706323547363283
10,0.7847833333651225,0.5756859421094258,0.816,0.4686958831787109
